Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"McCallum, Roland W; Sainsbury, Christopher AR; Spiers, Angela; Dominiczak, Anna F; Petrie, John R; Sattar, Naveed; Connell, John MC; ",Growth hormone replacement reduces C‐reactive protein and large‐artery stiffness but does not alter endothelial function in patients with adult growth hormone deficiency,Clinical endocrinology,62,4,473-479,2005,"Blackwell Science Ltd Oxford, UK"
"Sainsbury, Christopher AR; Sattar, Naveed; Connell, John MC; Hillier, Chris; Petrie, John R; ",Non-esterified fatty acids impair endothelium-dependent vasodilation in rat mesenteric resistance vessels,Clinical Science,107,6,625-629,2004,Portland Press Ltd.
"Sainsbury, CAR; Coleman, J; Brady, AJ; Connell, JMC; Hillier, C; Petrie, JR; ","Endothelium-dependent relaxation is resistant to inhibition of nitric oxide synthesis, but sensitive to blockade of calcium-activated potassium channels in essential hypertension",Journal of human hypertension,21,10,808-814,2007,Nature Publishing Group
"Jeemon, Panniyammakal; Pettigrew, Kerry; Sainsbury, Christopher; Prabhakaran, Dorairaj; Padmanabhan, Sandosh; ",Implications of discoveries from genome-wide association studies in current cardiovascular practice,World journal of cardiology,3,7,230,2011,
"Knowles, E; Stewart, CL; Thomas, NP; MacEwen, A; Sainsbury, C; Small, M; Jones, GC; ",Random blood glucose in medical admissions to the Western Infirmary Glasgow: what action is taken on abnormal results?,DIABETIC MEDICINE,30,,150-150,2013,"WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Vaughan, GA; Johnson, MK; Mark, PB; Connell, JMC; Olufsen, MS; Hill, NA; Sainsbury, CAR; ",P. 095 The Disparate Effects of Microvascular Rarefaction and Reduced Compliance on Proximal Haemodynamics: Investigation with a Mathematical and Computational Model of the Circulation,Artery Research,1,2,74-74,2007,Springer Netherlands Dordrecht
"Vaughan, GA; Connell, JMC; Johnson, MK; Olufsen, MS; Hill, NA; Sainsbury, CAR; ",PB. 3. Investigating the relationship between microvascular rarefaction and systemic hypertension: a mathematical and computational model of the circulation.,Journal of Human Hypertension,21,10,840-841,2007,Nature Publishing Group
"Olufsen, Mette S; Hill, NA; Vaughan, Gareth DA; Sainsbury, Christopher; Johnson, Martin; ",Rarefaction and blood pressure in systemic and pulmonary arteries,Journal of fluid mechanics,705,,280-305,2012,Cambridge University Press
"Sainsbury, CAR; Hillier, C; Petrie, JR; Connell, J; ",Differential mechanisms of endothelium-dependent vasodilator responses of human resistance arteries in hypertensive and normotensive subjects,,,,,2003,
"Sainsbury, CAR; Perry, C; Hillier, C; Sattar, N; Petrie, JR; Connell, J; ",Saturated and monounsaturated free fatty acids impair endothelial function in the rat mesenteric artery,,,,,2002,
"Hill, Nicholas; Vaughan, Gareth; Olufsen, Mette; Johnson, Martin; Sainsbury, Christopher; ",Pulse propagation in the pulmonary arteries,APS Division of Fluid Dynamics Meeting Abstracts,60,,FD. 001,2007,
"Jones, GC; Casey, H; Perry, CG; Kennon, B; Sainsbury, CAR; ",Trends in recorded capillary blood glucose and hypoglycaemia in hospitalised patients with diabetes,Diabetes Research and Clinical Practice,104,1,79-83,2014,Elsevier
"Sainsbury, Christopher AR; ",Endothelial function of the resistance artery: Mechanisms in health and hypertension,,,,,2004,University of Glasgow (United Kingdom)
"Mukherjee, K; Perry, C; Jones, GC; Sainsbury, CAR; ",Temporal analysis of capillary blood glucose measurements from a whole-hospital data set,DIABETIC MEDICINE,30,,160-161,2013,"WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Padmanabhan, Sandosh; Hastie, Claire; Sainsbury, Christopher A; Mcbride, Martin W; Connell, John M; Dominiczak, Anna F; ","THE CAT, THE FLY AND THE BEETLE—WHY GENETICS NEEDS A SEMANTIC EDUCATION",International Journal of Semantic Computing,3,01,77-90,2009,World Scientific Publishing Company
"Sainsbury, CAR; Hillier, C; Sattar, N; Petrie, JR; Connell, J; ",Non-esterified free fatty acids as direct modulators of endothelial function in the rat mesenteric artery,Journal of Hypertension,20,,S265-S265,2002,
"Petrie, John R; McDougall, Claire; Al-Mamari, Ali; Kernohan, Andrew FB; Sainsbury, Christopher AR; Perry, Colin G; Brady, Adrian J; ",Increase in blood glucose concentration during antihypertensive treatment as a predictor of myocardial infarction: population based cohort study,,,,,,
"Sainsbury, C; Hillier, C; Sattar, N; Petrie, J; Connell, J; ",Deleterious effect of non-esterified free fatty acids (NEFAs) on resistance artery endothelial function,Endocrine Abstracts,3,,,2002,Bioscientifica
"Vaughan, GA; Olufsen, MS; Hill, NA; Sainsbury, CA; ",P2. 25 Mathematical Modelling of the Systemic Circulation: Investigating Pressure and Flow Throughout the Microcirculation,Artery Research,2,3,112-112,2008,Springer Netherlands Dordrecht
"Qureshi, M Umar; Vaughan, Gareth DA; Sainsbury, Christopher; Johnson, Martin; Peskin, Charles S; Olufsen, Mette S; Hill, NA; ",Numerical simulation of blood flow and pressure drop in the pulmonary arterial and venous circulation,Biomechanics and modeling in mechanobiology,13,5,1137-1154,2014,Springer Berlin Heidelberg
"Brown, AL; Jones, G; Sainsbury, C; ",""" Real-life"" experience in use of dipeptidyl peptidase 4 inhibitors at a large Scottish teaching hospital",DIABETOLOGIA,56,,S354-S354,2013,"SPRINGER 233 SPRING ST, NEW YORK, NY 10013 USA"
"Sainsbury, CAR; Mohammed, A; Monaghan, A; Kennon, B; Perry, C; Jones, GC; ",Time to repeat capillary blood glucose measurement following inpatient hypoglycaemia as an indicator of quality of care shows poor concordance with guidelines and can be improved by an intervention (NHS Scotland Quality Improvement Hub Think Glucose pilot): improvement persists beyond cessation of intervention,DIABETIC MEDICINE,31,,27-27,2014,"WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Jones, GC; Sainsbury, CAR; ","Impact of hypoglycaemia on length of stay, time to readmission and mortality in inpatients with diabetes",DIABETIC MEDICINE,31,,26-26,2014,"WILEY-BLACKWELL 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
